method_id,method,variant,lane,sub_lane,lane_definition,scope,gradient_training_signal,updated_state,objective,payload_must_count,strict_ptq_direct_comparison,comparison_conditions,reproduction_status,primary_paper,official_repo,evidence_note,verified_as_of
efficientqat,EfficientQAT,block-AP plus end-to-end quantization-parameter training,C,C,C：使用全局 CE/KL 梯度优化、QAT、下游 PEFT/微调，或主结果流水线以任务损失恢复全模型行为。,quantization-aware training for low-bit LLM weights and activations depending protocol,blockwise all-parameter training followed by end-to-end quantization-parameter optimization,model/quantizer parameters updated under simulated quantization,block reconstruction and global task/distillation objectives,exported codes/scales/zero-points; remaining quantizer state; any adapters; unquantized tensors; padding/header/alignment,mechanism_only,"match W/A scope and actual bytes, but disclose training data/tokens/steps/GPU-hours/peak memory; not strict PTQ",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2407.11062,https://github.com/OpenGVLab/EfficientQAT,Training scope places the method in C regardless of nominal deployment bit width.,2026-07-16
llm_qat,LLM-QAT,data-free distillation QAT,C,C,C：使用全局 CE/KL 梯度优化、QAT、下游 PEFT/微调，或主结果流水线以任务损失恢复全模型行为。,"QAT covering weights, activations, and optionally KV cache",synthetic/data-free distillation with backpropagation through quantization simulation,student model and quantization parameters,teacher-student language-model distillation under low-bit simulation,all exported W/A/KV quantizer state; packed weights; scales/zero-points; unquantized tensors; padding/header/alignment,mechanism_only,scope must be aligned (W-only versus W/A/KV) and training compute disclosed; not a frozen weight-PTQ control,official_code_available; external_reproduction_pending,https://arxiv.org/abs/2305.17888,https://github.com/facebookresearch/LLM-QAT,"Data-free describes distillation data sourcing, not absence of gradient training.",2026-07-16
turboquant,TurboQuant,KV-cache/vector quantization,D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,runtime KV-cache compression rather than static model-weight compression,runtime/per-sequence quantization path; training signal is not the current weight-PTQ question,dynamic KV representation and its runtime codec state,reduce KV-cache distortion/memory under vector quantization,KV codes; per-sequence/block scales; vector codebooks; runtime metadata/workspace; kernel requirements,no_scope_mismatch,report separately as a runtime-memory axis; do not merge its rate with static weight bytes,no_official_repo_found_as_of_2026-07-14; literature_only; external_reproduction_pending,https://arxiv.org/abs/2504.19874,not_found_in_primary_sources,"Excluded from strict comparison because the compressed object is KV cache, not model weights.",2026-07-16
sharq,SharQ,online activation sparse-dense FP4 decomposition with shared FP4 weights,D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,runtime activation decomposition/dispatch plus a shared low-bit weight representation,runtime mechanism; not a like-for-like static weight PTQ optimization,"input-adaptive N:M activation mask, sparse backbone, dense residual, and one shared FP4 weight payload with path-specific scale views",reduce activation quantization error and execution cost using sparse/dense paths,runtime activation mask/metadata; shared FP4 weight payload; path-specific scale views; runtime buffers/workspace; fused-preparation and sparse/dense GEMM kernel requirements,no_scope_mismatch,"evaluate as activation/runtime system work, not as evidence for a weight-only exact-rate frontier",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2606.26587,https://github.com/actypedef/SharQ,Scope mismatch is explicit even though the system also consumes low-bit weights.,2026-07-16
joint_structural_mixed_precision,Joint structural pruning + MPQ,architecture/search method,D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,global structural pruning plus mixed-precision allocation/search,global search/optimization across architecture and bit allocation rather than a fixed-model PTQ transform,"selected structure, layer widths/blocks, and mixed-precision weights",global resource-constrained architecture/precision objective,all surviving weights and quantizer state; architecture descriptors; masks/indices; search-selected scheme IDs; padding/header/alignment,no_scope_mismatch,requires a separate architecture-search track; nominal global compression ratio alone is not a strict fixed-model comparison,no_official_repo_found_as_of_2026-07-14; literature_only; external_reproduction_pending,https://arxiv.org/abs/2606.07819,not_found_in_primary_sources,Kept in lane D because structure/search changes the model definition being compared.,2026-07-16
sinq,SINQ,calibration-free second-axis scaling,A,A0,A：冻结稠密模型、无反向传播的 PTQ；A0：data-free，不使用校准样本或激活统计。,data-free weight-only PTQ with scaling along an additional axis,no calibration data or gradient training for SINQ core,quantized weights and additional-axis scale state,reduce weight quantization distortion through structured rescaling,codes; ordinary and second-axis scales; zero-points; axis/group metadata; padding/header/alignment,yes_if_protocol_matched,"match data-free variant, scale representation, group/axis setup, actual artifact bytes, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2509.22944,https://github.com/huawei-csl/SINQ,Only the data-free SINQ variant is represented here; extra-axis scales must be charged.,2026-07-16
asinq,A-SINQ,calibration-assisted second-axis scaling,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,calibration-assisted weight-only PTQ,calibration statistics but no end-to-end gradient training in the identified variant,quantized weights and additional-axis scale state,activation-aware quantization distortion reduction,codes; ordinary and second-axis scales; zero-points; axis/group metadata; padding/header/alignment,yes_if_protocol_matched,"match calibration, scale representation, actual bytes, group/axis setup, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2509.22944,https://github.com/huawei-csl/SINQ,Separated from calibration-free SINQ to prevent mixing A0 and A1 evidence.,2026-07-16
srr,SRR,Structured Residual Reconstruction PTQ,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,weight-only PTQ preserving dominant activation-scaled singular directions with low-rank residual repair,calibration statistics/closed-form decomposition without end-to-end training in the PTQ core,quantized residual representation and low-rank repair factors,preserve selected activation-sensitive singular directions and reconstruct remaining error,base codec; both low-rank factors and dtype/scales; selected-rank metadata; padding/header/alignment,yes_if_protocol_matched,"use PTQ core without QPEFT; match calibration, ranks, factor precision, actual bytes, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2602.02001,https://github.com/cyoonjun/srr,The optional QPEFT route would belong in lane C and is not conflated with this row.,2026-07-16
rescomp,ResComp,residual compensation PTQ,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,weight-only PTQ with sequential output-aligned residual compensation,calibration forward/statistical correction; no gradient claim is used for this registry row,quantized weights plus any compensation state surviving export,align each quantized step with the original full-precision output using compensation-aware error,ordinary codec; every non-folded compensation tensor; order/scheme metadata; padding/header/alignment,yes_if_protocol_matched,"verify whether compensation is truly folded and measure exported bytes; match calibration, codec, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2604.07955,https://github.com/list0830/ResComp,No zero-overhead claim is assumed: exported artifacts decide whether compensation payload survives.,2026-07-16
foem,FOEM,first-order error-aware compensation,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,weight-only PTQ with first-order-aware error compensation,no explicit model backpropagation; uses latent/full-weight difference and Hessian-like calibration surrogate,progressively compensated latent weights hardened into the final quantized weights; the paper algorithm adds no separate deployed FOEM state,approximate loss with both first-order and second-order perturbation terms,base codes/scales/zero-points; grouping/order metadata; padding/header/alignment; charge implementation-specific compensation only if an exporter actually serializes non-folded state,yes_if_protocol_matched,"match calibration, codec, serialized compensation, actual bytes, and evaluation; report first-order diagnostics separately",official_code_available; third_party_integration_available; external_reproduction_pending,https://arxiv.org/abs/2507.11017,https://github.com/Xingyu-Zheng/FOEM,The paper-designated repository is Xingyu-Zheng/FOEM; ModelCloud/GPTQModel is only a secondary integration. FOEM is a relevant control because a Hessian-only proxy can miss the linear term.,2026-07-16
yaqa,YAQA,full-model KL adaptive rounding,B,B,B：冻结 dense pretrained base 的校准型 PTQ；允许为局部重构、曲率统计执行 backward/HVP/STE，或优化最终可融合的量化/辅助状态，但不做全局任务恢复。,weight PTQ with full-model KL Kronecker curvature sketches and fixed-point adaptive rounding,"backward/HVP-like Hessian-sketch collection may use calibration KL information, but the quantized representation is produced by fixed-point/LDL-style rounding without gradient learning; dense base stays frozen",hardened quantized codes selected inside the underlying quantizer; no learnable YAQA rounding state survives export,minimize full-model output KL under a structured curvature approximation,"only the underlying quantizer payload: codes/scales/zero-points, its required transform/codebook/decoder metadata, and padding/header/alignment; YAQA Hessian sketches, curvature factors and rounding search state are encoder-side and absent at inference",yes_if_protocol_matched,"match calibration corpus/tokens, Hessian sketch type/rank and HVP cost, fixed-point/LDL rounding protocol, underlying quantizer, actual exported bytes, compute, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2505.22988,https://github.com/Cornell-RelaxML/yaqa-quantization,"Placed in B because collecting full-model KL curvature can require backward/HVP work; this is gradient-assisted statistics, not gradient learning or fine-tuning.",2026-07-16
interplay_sq,Effective Interplay S+Q,max-scaled quantization plus magnitude sparsity,A,A0,A：冻结稠密模型、无反向传播的 PTQ；A0：data-free，不使用校准样本或激活统计。,post-training sparsity/quantization interaction theory with LLM and vision experiments,the core order/error analysis uses deterministic magnitude sparsity and max-scaled numerical encoding without calibration gradients,a sparse quantized tensor; no separate repair state is introduced by the core analysis,decompose the compounded dot-product error and characterize when sparsity and quantization are non-orthogonal and order dependent,quantized values/scales; sparse values and mask/index or N:M metadata; ordering/format descriptors; padding/header/alignment,mechanism_only,"use as the closest interaction-theory prior; a numerical comparison must match sparsity structure, quantizer, order, actual serialized bytes, model/tensors and evaluation",primary_sources_verified; official_code_available; external_reproduction_pending,https://openreview.net/forum?id=wJv4AIt4sK,https://github.com/parsa-epfl/quantization-sparsity-interplay,"ICLR 2025 Spotlight already proves and measures Q/S non-orthogonality and order effects, and the author project page links the official implementation. The current repository may claim a different signed PSD-cross-term and physical-byte audit, not first interaction or orthogonality analysis.",2026-07-16
choi_ecsq,Hessian ECSQ,Hessian-weighted quantization plus Huffman/ECSQ,B,B,B：冻结 dense pretrained base 的校准型 PTQ；允许为局部重构、曲率统计执行 backward/HVP/STE，或优化最终可融合的量化/辅助状态，但不做全局任务恢复。,network weight quantization under a compression-ratio or entropy constraint,"diagonal task-Hessian weighting requires second-order/backward information; the paper also studies post-quantization fine-tuning, which must be separated from the core codec comparison","cluster/code indices, reproduction values/codebook and a variable-length binary code",minimize Hessian-weighted distortion subject to rate through entropy-constrained scalar quantization,"variable-length codewords or Huffman tree/code lengths; codebook/LUT; tensor shapes; scales if used; all headers, alignment and padding",mechanism_only,"historical non-LLM scope; match Hessian computation, codebook, entropy coder, complete file bytes and exclude fine-tuning before using it as a frozen-compression comparator",primary_sources_verified; no_official_repo_found; literature_only; external_reproduction_pending,https://arxiv.org/abs/1612.01543,not_found_in_primary_sources,"ICLR 2017 already combines Hessian-weighted distortion, a compression constraint and Huffman/ECSQ. Therefore Hessian-plus-rate or Hessian-plus-entropy is not a base novelty claim.",2026-07-16
optimal_formats_entropy,Optimal Formats,variable-length weight formats,A,A0,A：冻结稠密模型、无反向传播的 PTQ；A0：data-free，不使用校准样本或激活统计。,weight-format design and lossless coding after scalar quantization,distributional format analysis and direct-cast quantization do not require model training,quantized values encoded by a variable-length code and the decoder format state,minimize squared error or KL-linked distortion at an expected code length,actual code stream; symbol table/codebook or canonical code lengths; block/outlier descriptors; tensor metadata; headers/alignment/padding,yes_if_protocol_matched,"match source weights, format family, entropy coder, decode state, complete serialized bytes, tensor coverage and evaluation",primary_sources_verified; no_official_repo_found; external_reproduction_pending,https://arxiv.org/abs/2505.12988,not_found_in_primary_sources,The paper shows that uniform quantization followed by variable-length lossless coding is optimal in its stated model. It reports average/sample code length rather than this repository's self-describing artifact bytes.,2026-07-16
optimal_formats_fisher,Optimal Formats,Fisher layer-wise bit allocation,B,B,B：冻结 dense pretrained base 的校准型 PTQ；允许为局部重构、曲率统计执行 backward/HVP/STE，或优化最终可融合的量化/辅助状态，但不做全局任务恢复。,mixed-rate allocation across model parameter tensors,Fisher information links output KL to weighted parameter distortion and can require loss-gradient statistics,per-tensor quantized streams and the selected bit-width/format allocation,minimize Fisher-weighted distortion under an aggregate expected-rate constraint,every per-tensor stream; bit-width/format identifiers; scales/codebooks; Fisher statistics only if required at decode; headers/alignment/padding,mechanism_only,"match the Fisher corpus/objective and backward cost, candidate formats, aggregate physical bytes, tensor scope and evaluation",primary_sources_verified; no_official_repo_found; external_reproduction_pending,https://arxiv.org/abs/2505.12988,not_found_in_primary_sources,Separated from the paper's data-free format analysis because Fisher allocation is a gradient/statistics-assisted rate allocator.,2026-07-16
projq,ProjQ,orthogonal projection for quantization and low-rank adapters,C,C,C：使用全局 CE/KL 梯度优化、QAT、下游 PEFT/微调，或主结果流水线以任务损失恢复全模型行为。,adapter-aware quantization whose error is shaped toward a low-rank subspace before downstream adaptation,the main evaluation includes low-rank adaptation/fine-tuning; the alternating projection mechanism must be isolated before any frozen-PTQ comparison,quantized base plus low-rank adapter/correction factors and any projection state that is not folded,push quantization noise into the adapter-correctable subspace while reducing the orthogonal residual,base quantizer payload; both low-rank factors; projection/basis state unless regenerated or folded; adapter metadata; headers/alignment/padding,mechanism_only,"separate frozen compensation from downstream LoRA, match rank/training budget, projection state, actual artifact bytes, model/tensors and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2606.00494,https://github.com/yy9301/ProjQ,"ProjQ already uses orthogonal subspace projection for quantization plus low-rank adaptation, so orthogonality-based low-rank coordination is not a first claim.",2026-07-16
paretoq,ParetoQ,low-bit QAT scaling-law study,C,C,C：使用全局 CE/KL 梯度优化、QAT、下游 PEFT/微调，或主结果流水线以任务损失恢复全模型行为。,quantization-aware fine-tuning/training across low-bit regimes,gradient-based QAT or fine-tuning,model and quantizer parameters,task/distillation loss under quantization simulation,exported codes/scales/zero-points; retained quantizer/adaptation state; unquantized tensors; padding/header/alignment,mechanism_only,"use as a trained upper-bound/frontier with training compute disclosed, not as a strict frozen-PTQ control",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2502.02631,https://github.com/facebookresearch/ParetoQ,"Training regime, rather than deployment bit width, determines lane C.",2026-07-16
q_vdit,Q-VDiT,video-DiT weight/activation quantization with temporal distillation,D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,video diffusion Transformer quantization and distillation,calibration and temporal-maintenance distillation optimize a video-generation objective; this is not the current frozen decoder-only LLM weight endpoint,quantized video-DiT weights/activations plus estimator or distillation-trained state retained by export,preserve token/feature information and spatiotemporal consistency under video-DiT quantization,weight codes/scales; activation quantizer state; token-aware estimator state if retained; unquantized exceptions; runtime kernels/workspace; headers/padding/alignment,no_scope_mismatch,"compare only in a video-DiT W/A deployment track with matched model, prompts, frames, denoising protocol, hardware, exported bytes, peak memory, latency, and video quality",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2505.22167,https://github.com/wlfeng0509/Q-VDiT,Primary sources describe a video-generation PTQ/distillation system. It informs the multimodal extension but is not a direct weight-only language-model PTQ baseline.,2026-07-16
s2q_vdit,S2Q-VDiT,salient calibration and sparse-token distillation for W/A quantization,D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,video diffusion Transformer weight/activation quantization,Hessian-aware calibration selection and attention-guided sparse-token distillation are encoder/training procedures,quantized video-DiT weights and activation quantizer state; sparse-token selection is not asserted as runtime sparse attention,improve W/A PTQ calibration and distillation for long video token sequences,weight codes/scales; activation quantizer state; retained calibration/distillation state if any; unquantized exceptions; runtime kernels/workspace; headers/padding/alignment,no_scope_mismatch,"keep training-time sparse-token distillation separate from runtime sparse attention; match video model, W/A scope, calibration, prompts, frames, steps, bytes, memory, latency, and quality",official_repository_placeholder; code_not_released_as_of_2026-07-16; external_reproduction_pending,https://arxiv.org/abs/2508.04016,https://github.com/wlfeng0509/s2q-vdit,The paper reports W4A6 video-DiT PTQ. Sparse tokens guide distillation during calibration and must not be counted as deployed sparse-attention acceleration.,2026-07-16
quantsparse,QuantSparse,joint model quantization and attention sparsification,D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,HunyuanVideo-class video diffusion Transformer W/A quantization plus runtime sparse attention,multi-scale salient attention distillation and second-order sparse-attention reparameterization jointly correct coupled quantization/sparsity error,"quantized model state, sparse-attention policy/reparameterization state, and any retained distillation-derived parameters",jointly preserve global attention structure and local salient information under quantization and attention sparsity,weight/activation quantizer payload; sparse support/index or routing state; reparameterization state; dense fallbacks; kernels/workspace; headers/padding/alignment,no_scope_mismatch,"use a matched video-generation system protocol and report storage, runtime state, peak memory, attention-only and end-to-end latency separately; never multiply standalone speedups",official_repository_placeholder; code_not_released_as_of_2026-07-16; external_reproduction_pending,https://arxiv.org/abs/2509.23681,https://github.com/wlfeng0509/QuantSparse,"This is the closest joint video quantization-plus-sparse-attention precedent. The official repository contains paper assets and says code will be released soon, so paper numbers remain literature-reported.",2026-07-16
teacache,TeaCache,timestep-embedding-aware feature caching,D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,training-free temporal cache for video diffusion inference,no model training in the core method; timestep-modulated input differences and rescaling decide cache reuse,cached intermediate outputs and cache-control thresholds/statistics at runtime,skip redundant denoising computation while bounding timestep-dependent output change,cache buffers; cache keys/timestep state; thresholds/rescaling parameters; fallback compute; kernels/workspace; peak runtime memory,no_scope_mismatch,"cache latency and memory must be measured under the same video model, prompts, frames, denoising steps, hardware, warmup, and quality protocol",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2411.19108,https://github.com/ali-vilab/TeaCache,"TeaCache is a cache-only video diffusion system reference, not a stored-weight compression endpoint.",2026-07-16
sparse_videogen,Sparse VideoGen,dynamic spatial-temporal sparse attention,D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,training-free runtime sparse attention for video diffusion Transformers,online profiling classifies heads and predicts dynamic spatial or temporal sparse patterns; no dense-weight PTQ is implied,"head classifiers/profiling state, sparse layouts, and custom sparse-attention kernels",preserve attention output while exploiting dynamic spatial-versus-temporal head structure,sparse layouts/indices; profiling and classifier state; dense fallback; layout transforms; kernels/workspace; peak runtime memory,no_scope_mismatch,"report attention-only and end-to-end latency separately with matched sequence length, hardware, kernel version, prompts, frames, steps, and quality",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2502.01776,https://github.com/svg-project/Sparse-VideoGen,Dynamic head type and online profiling make this a runtime attention-system comparison rather than a fixed weight-codec row.,2026-07-16
sparse_vdit,Sparse-vDiT,"offline searched diagonal, multi-diagonal, and vertical-stripe attention",D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,structured sparse attention and hardware-aware search for video diffusion Transformers,offline search selects per-head/layer sparse strategies; the method changes runtime attention rather than only stored weights,"per-head pattern assignments, fused sparse layouts, search-selected schedule, and custom kernels",minimize hardware cost while preserving video attention under recurring structured sparsity,pattern descriptors; sparse layouts/indices; skipped-head metadata; dense fallback; kernels/workspace; peak runtime memory,no_scope_mismatch,"match model, head/layer schedule, sequence geometry, hardware cost model, kernels, prompts, frames, steps, and video quality; distinguish theoretical FLOPs from measured latency",primary_sources_verified; no_official_repo_found; external_reproduction_pending,https://arxiv.org/abs/2506.03065,not_found_in_primary_sources,"The primary paper reports model-specific structured patterns and measured video inference speedups, but no official repository was confirmed in the audited primary sources.",2026-07-16
cachequant,CacheQuant,joint diffusion caching and quantization,D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,training-free image diffusion cache plus model quantization,dynamic programming chooses a cache schedule and decoupled error correction addresses coupled and accumulated cache/quantization error,"quantized model state, cache schedule/controller state, correction state, and runtime cache buffers",jointly optimize temporal reuse and structural quantization rather than independently stacking them,quantized codes/scales; cache buffers and schedule; correction/controller state; unquantized exceptions; kernels/workspace; headers/padding/alignment,no_scope_mismatch,"use as interaction-aware stacking precedent; image-diffusion results require new video-model validation with matched storage, cache memory, latency, and quality accounting",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2503.01323,https://github.com/BienLuky/CacheQuant,"CacheQuant directly shows that independently optimized cache and quantization errors are not orthogonal. Its measured scope is image diffusion, not HunyuanVideo.",2026-07-16
vmonarch,VMonarch,structured Monarch attention for video diffusion,D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,structured attention replacement for video diffusion Transformers,"alternating minimization, recomputation, and minimal tuning fit structured Monarch attention; this changes the model/runtime attention operator","Monarch factors, update/recomputation state, and fused attention kernels",capture intra-frame and inter-frame dynamic sparsity with a sub-quadratic structured matrix,all Monarch factors; update state retained at inference; position/layout metadata; dense fallbacks; kernels/workspace; peak runtime memory,no_scope_mismatch,"separate attention FLOPs and attention-kernel speed from end-to-end generation speed; match tuning budget, model, sequence geometry, hardware, and quality",primary_sources_verified; no_official_repo_found; external_reproduction_pending,https://arxiv.org/abs/2601.22275,not_found_in_primary_sources,"VMonarch is evidence for structured local/global attention, but its reported attention-compute gains are not an end-to-end compression result.",2026-07-16
monarchrt,MonarchRT,"periodic structured, dynamic sparse, and dense-mixing attention",D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,finetuned structured attention for real-time autoregressive video diffusion,"finetuning and custom kernels fit a tiled Monarch parameterization to periodic position structure, dynamic sparse semantics, and dense mixing","trained Monarch factors, tiled layout metadata, and custom Triton kernels",retain expressive mixed attention structure while reducing real-time video attention cost,trained factors; tiling/position metadata; dense-mixing state; kernels/workspace; peak runtime memory; model checkpoint delta,no_scope_mismatch,"report kernel and full-pipeline speed separately; match finetuning data/steps, autoregressive regime, model, hardware, frames, and quality",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2602.12271,https://github.com/Infini-AI-Lab/MonarchRT,The paper argues that sparse semantics alone are insufficient because periodic structure and dense mixing remain. Kernel speedups must not be presented as end-to-end multipliers.,2026-07-16
ropeslr,RoPeSLR,3D-RoPE sparse semantic spikes plus low-rank background,D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,sparse-low-rank attention replacement for long-sequence video diffusion Transformers,head-wise low-rank parameterization and learned 3D absolute positional injection preserve RoPE-aware structure alongside sparse semantic spikes,"sparse routes/support, low-rank attention factors, positional parameters, and runtime kernels",decompose attention into high-frequency sparse semantics and an extreme low-rank background continuum,sparse support/index or routing state; low-rank factors; positional parameters; dense fallbacks; kernels/workspace; peak runtime memory,no_scope_mismatch,"match sequence length, sparsity/rank, model, training or calibration budget, hardware, kernels, prompts, frames, steps, and quality; verify held-out transfer of the decomposition",primary_sources_verified; no_official_repo_found; external_reproduction_pending,https://arxiv.org/abs/2605.20659,not_found_in_primary_sources,"RoPeSLR is the closest external sparse-plus-low-rank attention analogue to the proposed spectral gate, but it is not a weight Q/S/L artifact comparison.",2026-07-16
bitnet_b158,BitNet b1.58,native ternary model training,D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,model architecture/training designed natively for ternary weights,full pretraining or training from scratch in the low-bit architecture,entire native low-bit model,language-model training objective with ternary-weight constraints,ternary weight encoding; scales; non-ternary tensors; architecture/runtime metadata; padding/header/alignment,no_scope_mismatch,compare only in a separately trained-model track; it is not post-hoc compression of the same pretrained checkpoint,official_code_available; external_reproduction_pending,https://arxiv.org/abs/2402.17764,https://github.com/microsoft/BitNet,Native low-bit training cannot establish orthogonality or repair gains for fixed-checkpoint PTQ.,2026-07-16
quest,QuEST,native/QAT low-bit weights and activations,D,D,D：非同范围；KV-cache、仅激活、原生低比特训练、NAS/结构搜索等不能作为严格权重 PTQ 对照。,training-aware low-bit weights-and-activations system,gradient-based native or quantization-aware training,trained low-bit model and activation quantizers,training loss under low-bit weight/activation simulation,weight codes/scales; activation quantizer state; non-quantized tensors; runtime/kernel requirements; padding/header/alignment,no_scope_mismatch,use a separately trained W/A track; do not treat as frozen weight-only PTQ at equal nominal bits,official_code_available; external_reproduction_pending,https://arxiv.org/abs/2502.05003,https://github.com/IST-DASLab/QuEST,Lane D captures both training-regime and compressed-object mismatch with the current weight-only PTQ probe.,2026-07-16
